"ProductId","Description"
"11478","Microsoft SQL Server 2017 for x64-based Systems (GDR)"
"11571","Windows Server 2019"
"11655","Microsoft Edge (Chromium-based)"
"11676-11571","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019"
"11677-11571","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019"
"11821","Microsoft SQL Server 2019 for x64-based Systems (GDR)"
"12048","Microsoft SQL Server 2016 for x64-based Systems Service Pack 3 (GDR)"
"12147","Microsoft SQL Server 2022 for x64-based Systems (GDR)"
"12256","ASP.NET Core 8.0"
"12390","Windows 11 Version 24H2 for x64-based Systems"
"12414",".NET 8.0 installed on Windows"
